ncm,pais_origem,volume_total,valor_total,preco_medio,frete_medio,seguro_medio
64019200,"CHINA, REPUBLICA POPULAR",82500.0,213000.0,20.6,580.0,26.8
64019990,"CHINA, REPUBLICA POPULAR",49500.0,46100.0,7.72,516.0,0.02
64021900,CAMBOJA,29000.0,501000.0,24.1,602.0,18.2
64021900,"CHINA, REPUBLICA POPULAR",29900.0,1130000.0,53.1,357.0,20.1
64021900,INDONESIA,125000.0,2680000.0,31.0,451.0,10.1
64021900,ITALIA,1020.0,78000.0,408.0,171.0,0.399
64021900,VIETNA,163000.0,5530000.0,33.5,557.0,13.6
64022000,"CHINA, REPUBLICA POPULAR",85800.0,151000.0,9.26,506.0,1.93
64029190,"CHINA, REPUBLICA POPULAR",23500.0,1040000.0,22.4,517.0,3.28
64029190,VIETNA,12200.0,277000.0,29.1,287.0,8.67
64029990,INDONESIA,131000.0,2630000.0,24.0,239.0,5.02
64029990,VIETNA,119000.0,3770000.0,32.5,343.0,2.85
64029990,CAMBOJA,85500.0,642000.0,11.2,255.0,2.44
64029990,"CHINA, REPUBLICA POPULAR",63600.0,895000.0,54.4,146.0,1.41
64029990,INDONESIA,535000.0,4810000.0,12.1,626.0,10.4
64029990,ITALIA,3830.0,475000.0,267.0,56.9,0.752
64029990,PARAGUAI,1400000.0,1670000.0,1.21,368.0,34.4
64029990,VIETNA,937000.0,8850000.0,12.3,413.0,5.92
64031900,ALEMANHA,104.0,11900.0,110.0,1.67,0.66
64031900,"CHINA, REPUBLICA POPULAR",2320.0,47400.0,60.3,81.1,5.45
64031900,ITALIA,530.0,125000.0,369.0,150.0,3.06
64031900,VIETNA,31000.0,695000.0,36.2,2260.0,130.0
64035190,ITALIA,585.0,305000.0,492.0,96.6,3.92
64035990,ESPANHA,367.0,63300.0,178.0,75.4,1.64
64035990,ITALIA,14100.0,4000000.0,309.0,180.0,7.67
64035990,PORTUGAL,237.0,36800.0,156.0,44.1,0.285
64039190,VIETNA,7840.0,224000.0,37.2,216.0,3.34
64039190,CAMBOJA,2970.0,95600.0,54.1,582.0,11.1
64039190,"CHINA, REPUBLICA POPULAR",6170.0,253000.0,69.1,186.0,2.58
64039190,INDIA,1500.0,44800.0,40.7,49.4,0.224
64039190,ITALIA,1070.0,359000.0,405.0,84.2,1.44
64039190,PORTUGAL,549.0,36100.0,107.0,208.0,2.85
64039190,VIETNA,36000.0,1050000.0,36.6,345.0,12.6
64039990,"CHINA, REPUBLICA POPULAR",17500.0,551000.0,40.1,222.0,4.98
64039990,INDONESIA,98300.0,2350000.0,25.7,121.0,3.23
64039990,ITALIA,338.0,109000.0,440.0,91.9,0.0547
64039990,VIETNA,96900.0,2870000.0,31.7,244.0,4.07
64039990,CAMBOJA,46700.0,885000.0,21.6,654.0,18.0
64039990,"CHINA, REPUBLICA POPULAR",32500.0,749000.0,45.8,135.0,1.25
64039990,ESPANHA,1040.0,109000.0,171.0,78.3,1.69
64039990,INDIA,13900.0,179000.0,23.3,101.0,0.407
64039990,INDONESIA,145000.0,2760000.0,20.8,383.0,5.92
64039990,ITALIA,17100.0,4680000.0,326.0,240.0,5.03
64039990,PORTUGAL,1940.0,155000.0,96.6,115.0,1.93
64039990,VIETNA,590000.0,11500000.0,22.4,498.0,12.8
64041100,"CHINA, REPUBLICA POPULAR",11300.0,482000.0,52.8,335.0,21.8
64041100,INDONESIA,88400.0,1280000.0,15.5,531.0,12.4
64041100,ITALIA,1600.0,114000.0,94.4,47.8,1.89
64041100,VIETNA,203000.0,4040000.0,25.2,1110.0,21.5
64041100,"CHINA, REPUBLICA POPULAR",119000.0,4650000.0,38.4,688.0,24.1
64041100,INDONESIA,649000.0,15600000.0,24.3,625.0,14.9
64041100,VIETNA,912000.0,28700000.0,31.7,857.0,11.7
64041900,ALEMANHA,9860.0,338000.0,57.9,9.31,3.64
64041900,CAMBOJA,28700.0,394000.0,12.8,141.0,1.07
64041900,"CHINA, REPUBLICA POPULAR",848000.0,1120000.0,23.0,361.0,1.95
64041900,ESPANHA,1450.0,68300.0,143.0,52.5,0.763
64041900,HONG KONG,20400.0,51500.0,44.3,267.0,1.05
64041900,INDONESIA,45300.0,736000.0,22.0,292.0,4.62
64041900,ITALIA,5910.0,1370000.0,352.0,96.4,1.46
64041900,VIETNA,228000.0,4630000.0,26.2,334.0,5.98
64042000,ITALIA,2520.0,841000.0,337.0,65.2,3.73
64052000,"CHINA, REPUBLICA POPULAR",174000.0,120000.0,6.55,308.0,0.964
64059000,ITALIA,431.0,130000.0,307.0,48.5,1.86
64061000,"CHINA, REPUBLICA POPULAR",1120000.0,2230000.0,3.09,5030.0,50.2
64062000,"CHINA, REPUBLICA POPULAR",305000.0,2480000.0,13.9,2000.0,53.3
64069020,"CHINA, REPUBLICA POPULAR",131000.0,668000.0,8.51,265.0,7.8
64069020,ESPANHA,4420.0,57800.0,22.1,1070.0,8.75
64069090,"CHINA, REPUBLICA POPULAR",319000.0,2220000.0,52.5,956.0,10.6
64069090,COLOMBIA,17400.0,147000.0,8.66,1030.0,34.6
64069090,ITALIA,2120.0,38100.0,146.0,147.0,20.1
