ncm,nves,nves_nm,pais_origem,fob_kg_minimo_dolar_truncado,fob_kg_maximo_dolar_truncado,fob_kg_media_dolar_truncado,fob_kg_mediana_dolar_truncado,fob_kg_desvio_padrao_dolar_truncado,fob_kg_quartil1_truncado,fob_kg_quartil3_truncado,fob_ume_minimo_dolar_truncado,fob_ume_maximo_dolar_truncado,fob_ume_media_dolar_truncado,fob_ume_mediana_dolar_truncado,fob_ume_desvio_padrao_dolar_truncado,fob_ume_quartil1_truncado,fob_ume_quartil3_truncado,vmle_soma_dolar_truncado,peso_liq_soma_truncado,qtd_ume_soma_truncado,frete_minimo_dolar_truncado,frete_media_dolar_truncado,frete_mediana_dolar_truncado,frete_maximo_dolar_truncado,frete_desvio_padrao_dolar_truncado,seguro_minimo_dolar_truncado,seguro_media_dolar_truncado,seguro_mediana_dolar_truncado,seguro_maximo_dolar_truncado,seguro_desvio_padrao_dolar_truncado,ume,ncm_str
1012100,S/NVE,S/NVE,BELGICA,29.1,121.0,68.2,51.4,44.0,30.3,108.0,7590.0,32500.0,18300.0,14500.0,9990.0,12800.0,24300.0,114000.0,2250.0,8.0,4000.0,9280.0,4300.0,26600.0,9790.0,0.0,0.0,0.0,0.0,0.0,Unidade,01012100
1012900,S/NVE,S/NVE,ARGENTINA,11.6,14.0,13.0,14.0,1.14,12.0,14.0,5800.0,7000.0,6540.0,7000.0,574.0,6000.0,7000.0,51600.0,4000.0,8.0,100.0,114.0,100.0,200.0,37.7,0.0,0.0,0.0,0.0,0.0,Unidade,01012900
2013000,S/NVE,S/NVE,ARGENTINA,11.6,15.5,14.3,14.6,1.11,13.7,15.1,11.6,15.5,14.3,14.6,1.11,13.7,15.1,2000000.0,137000.0,137000.0,158.0,1220.0,969.0,2520.0,885.0,0.0,90.5,0.0,562.0,150.0,Quilograma,02013000
2023000,S/NVE,S/NVE,ARGENTINA,8.11,13.4,11.5,11.9,1.58,10.5,12.7,8.11,13.4,11.5,11.9,1.58,10.5,12.7,2200000.0,192000.0,192000.0,274.0,1320.0,1310.0,2750.0,763.0,0.0,81.7,0.0,485.0,148.0,Quilograma,02023000
2023000,S/NVE,S/NVE,AUSTRALIA,9.17,12.3,11.3,12.0,1.27,9.9,12.2,9.17,12.3,11.3,12.0,1.27,9.9,12.2,2130000.0,188000.0,188000.0,5000.0,6610.0,6680.0,8060.0,1040.0,0.0,642.0,814.0,954.0,388.0,Quilograma,02023000
2023000,S/NVE,S/NVE,URUGUAI,2.92,24.9,11.7,11.3,6.22,6.8,14.6,2.92,24.9,11.7,11.3,6.22,6.8,14.6,3430000.0,285000.0,285000.0,65.0,733.0,800.0,1000.0,284.0,0.0,216.0,105.0,596.0,245.0,Quilograma,02023000
2044200,S/NVE,S/NVE,URUGUAI,7.3,13.1,10.6,10.9,1.99,8.91,12.3,7.3,13.1,10.6,10.9,1.99,8.91,12.3,2650000.0,252000.0,252000.0,561.0,796.0,761.0,1320.0,221.0,0.0,113.0,88.5,337.0,105.0,Quilograma,02044200
2044300,S/NVE,S/NVE,URUGUAI,7.25,15.0,9.96,9.54,1.93,9.01,10.4,7.25,15.0,9.96,9.54,1.93,9.01,10.4,615000.0,68500.0,68500.0,48.2,224.0,214.0,800.0,193.0,0.0,20.6,22.5,70.8,18.8,Quilograma,02044300
2071433,S/NVE,S/NVE,ARGENTINA,2.51,3.39,2.89,2.89,0.209,2.7,3.0,2.51,3.39,2.89,2.89,0.209,2.7,3.0,1090000.0,375000.0,375000.0,298.0,1160.0,1100.0,2310.0,524.0,0.0,47.9,17.1,223.0,69.4,Quilograma,02071433
2101900,S/NVE,S/NVE,ESPANHA,10.7,12.5,11.6,11.5,0.737,11.1,11.9,10.7,12.5,11.6,11.5,0.737,11.1,11.9,740000.0,62600.0,62600.0,1170.0,2640.0,2100.0,5180.0,1760.0,48.6,573.0,588.0,1060.0,462.0,Quilograma,02101900
